,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
4712,female,group B,some college,standard,incomplete,married,sometimes,yes,1,private,5 - 10,89,92,95
4713,female,group B,some college,free/reduced,incomplete,married,sometimes,yes,3,school_bus,5 - 10,59,75,71
4714,male,group B,some college,standard,incomplete,married,regularly,yes,1,school_bus,< 5,68,58,54
4715,male,group E,associate's degree,free/reduced,completed,single,sometimes,yes,1,private,5 - 10,74,70,70
4716,male,group C,associate's degree,standard,incomplete,married,sometimes,no,2,school_bus,5 - 10,78,84,78
4717,male,group D,some high school,standard,incomplete,married,sometimes,yes,2,private,5 - 10,69,63,66
4718,male,group D,associate's degree,standard,incomplete,married,sometimes,yes,2,private,5 - 10,45,34,32
4719,male,group B,some college,free/reduced,incomplete,single,never,yes,2,school_bus,5 - 10,19,11,6
4720,male,group D,bachelor's degree,standard,incomplete,married,regularly,yes,4,school_bus,5 - 10,91,92,90
4721,female,group C,associate's degree,standard,incomplete,married,regularly,yes,1,school_bus,5 - 10,74,91,93
4722,female,group E,some college,standard,incomplete,married,sometimes,no,4,school_bus,> 10,67,64,66
4723,female,group C,associate's degree,standard,completed,single,never,yes,3,school_bus,5 - 10,78,82,82
4724,male,group C,high school,standard,incomplete,married,sometimes,yes,3,private,5 - 10,75,72,57
4725,female,group B,associate's degree,free/reduced,completed,single,sometimes,no,4,school_bus,> 10,70,92,91
4726,male,group C,some high school,standard,incomplete,married,sometimes,yes,4,private,< 5,56,58,52
4727,female,group C,high school,free/reduced,incomplete,single,never,no,1,private,< 5,29,40,37
4728,male,group A,some college,standard,incomplete,divorced,never,yes,0,school_bus,5 - 10,56,59,49
4729,male,group C,high school,standard,incomplete,single,never,no,2,private,< 5,70,71,64
4730,female,group E,some high school,standard,incomplete,divorced,sometimes,yes,1,private,< 5,89,91,89
4731,female,group B,high school,standard,incomplete,married,sometimes,yes,2,school_bus,> 10,59,64,64
4732,male,group C,bachelor's degree,standard,incomplete,single,sometimes,yes,6,school_bus,5 - 10,60,60,53
4733,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,4,school_bus,5 - 10,64,82,80
4734,female,group B,associate's degree,standard,incomplete,single,regularly,yes,1,private,5 - 10,83,88,93
4735,male,group C,high school,free/reduced,incomplete,married,sometimes,yes,6,private,5 - 10,62,67,63
4736,male,group D,associate's degree,free/reduced,incomplete,married,never,no,1,private,< 5,63,52,52
4737,male,group B,some college,free/reduced,incomplete,married,sometimes,yes,1,school_bus,5 - 10,47,55,42
4738,female,group E,associate's degree,free/reduced,completed,married,regularly,no,5,school_bus,> 10,62,66,66
4739,female,group C,bachelor's degree,standard,completed,married,never,yes,1,private,5 - 10,44,41,44
4740,female,group C,some college,standard,incomplete,single,sometimes,yes,4,school_bus,5 - 10,57,68,60
4741,male,group C,high school,free/reduced,incomplete,married,regularly,no,1,school_bus,< 5,71,70,64
4742,female,group E,master's degree,standard,incomplete,divorced,sometimes,yes,4,private,5 - 10,66,58,61
4743,female,group A,some college,free/reduced,incomplete,married,sometimes,yes,2,school_bus,< 5,53,65,64
4744,female,group E,associate's degree,free/reduced,incomplete,married,regularly,yes,3,private,< 5,53,71,67
4745,male,group B,associate's degree,standard,incomplete,married,regularly,yes,3,private,> 10,83,81,80
4746,male,group D,some college,free/reduced,incomplete,single,sometimes,no,1,private,5 - 10,66,65,55
4747,male,group C,some high school,free/reduced,incomplete,married,regularly,yes,1,private,< 5,35,44,30
4748,male,group E,some high school,standard,incomplete,married,regularly,no,3,school_bus,5 - 10,74,71,60
4749,female,group D,associate's degree,standard,incomplete,married,sometimes,yes,0,school_bus,< 5,64,73,70
4750,male,group E,high school,free/reduced,completed,divorced,sometimes,no,1,private,< 5,60,61,58
4751,male,group A,bachelor's degree,standard,incomplete,married,sometimes,yes,7,school_bus,5 - 10,75,83,74
4752,female,group C,bachelor's degree,standard,incomplete,single,never,yes,7,school_bus,5 - 10,77,89,87
4753,female,group D,bachelor's degree,standard,incomplete,married,sometimes,yes,3,school_bus,5 - 10,62,69,69
4754,male,group C,some high school,standard,incomplete,married,regularly,no,6,private,< 5,49,46,38
4755,female,group A,associate's degree,standard,incomplete,married,regularly,yes,1,private,> 10,86,95,99
4756,female,group A,some high school,free/reduced,completed,married,sometimes,yes,4,private,5 - 10,59,71,74
4757,female,group B,high school,free/reduced,completed,married,sometimes,yes,5,private,< 5,63,86,79
4758,male,group B,some college,standard,completed,single,sometimes,no,4,school_bus,< 5,97,93,89
4759,female,group D,high school,standard,completed,married,regularly,no,3,private,< 5,78,91,95
4760,female,group C,some college,standard,incomplete,single,regularly,yes,4,school_bus,5 - 10,88,100,97
4761,female,group B,associate's degree,standard,incomplete,divorced,sometimes,yes,1,school_bus,5 - 10,61,65,68
4762,female,group D,some college,free/reduced,incomplete,married,regularly,yes,0,school_bus,< 5,45,47,55
4763,female,group B,some college,free/reduced,incomplete,married,sometimes,yes,1,private,5 - 10,51,55,61
4764,female,group B,some college,free/reduced,completed,divorced,regularly,yes,2,school_bus,5 - 10,72,79,84
4765,male,group A,associate's degree,free/reduced,completed,married,sometimes,yes,2,private,5 - 10,51,74,69
4766,male,group D,some high school,free/reduced,incomplete,married,sometimes,yes,0,school_bus,> 10,46,32,38
4767,male,group D,some college,standard,completed,divorced,regularly,yes,2,school_bus,> 10,59,64,59
4768,female,group D,high school,free/reduced,incomplete,divorced,regularly,yes,1,school_bus,5 - 10,57,64,64
4769,female,group E,some college,standard,incomplete,married,sometimes,yes,4,private,5 - 10,90,100,100
4770,female,group E,associate's degree,standard,incomplete,divorced,regularly,yes,0,private,> 10,70,71,75
4771,male,group C,associate's degree,standard,incomplete,married,sometimes,yes,3,private,< 5,68,67,66
4772,male,group E,high school,free/reduced,incomplete,divorced,regularly,yes,2,private,5 - 10,94,80,79
4773,male,group E,associate's degree,free/reduced,incomplete,married,regularly,yes,2,school_bus,5 - 10,82,73,75
4774,male,group C,high school,standard,completed,divorced,sometimes,yes,0,school_bus,5 - 10,70,61,63
4775,female,group A,some college,standard,completed,married,sometimes,no,3,school_bus,> 10,94,100,100
4776,female,group C,associate's degree,standard,incomplete,married,sometimes,yes,0,school_bus,< 5,65,73,73
4777,female,group E,some college,standard,incomplete,married,sometimes,no,2,school_bus,< 5,61,66,66
4778,male,group E,bachelor's degree,standard,completed,single,never,no,2,private,5 - 10,79,59,59
4779,male,group C,some college,standard,completed,married,sometimes,no,2,private,> 10,58,60,59
4780,male,group A,some college,standard,completed,divorced,sometimes,no,2,school_bus,< 5,67,70,68
4781,male,group D,some high school,standard,incomplete,divorced,regularly,yes,1,private,> 10,70,57,61
4782,male,group E,high school,standard,incomplete,married,regularly,no,2,private,> 10,96,88,79
4783,male,group D,some college,standard,incomplete,married,sometimes,yes,3,school_bus,< 5,61,54,60
4784,male,group E,some high school,standard,completed,divorced,regularly,yes,3,school_bus,< 5,82,77,82
4785,female,group E,associate's degree,standard,incomplete,married,never,yes,1,private,> 10,64,63,60
4786,female,group D,associate's degree,free/reduced,incomplete,married,sometimes,no,2,school_bus,5 - 10,40,43,43
4787,male,group C,some college,standard,incomplete,single,sometimes,no,4,private,5 - 10,82,74,73
4788,female,group B,high school,standard,incomplete,married,regularly,yes,3,school_bus,> 10,77,79,80
4789,male,group D,high school,free/reduced,completed,married,never,no,5,school_bus,> 10,65,67,69
4790,female,group D,bachelor's degree,free/reduced,incomplete,married,sometimes,yes,2,private,5 - 10,50,54,62
4791,female,group D,bachelor's degree,standard,incomplete,married,sometimes,yes,4,school_bus,5 - 10,92,97,96
4792,male,group B,high school,standard,completed,divorced,sometimes,yes,1,school_bus,< 5,66,56,53
4793,male,group C,some high school,standard,incomplete,married,regularly,yes,2,school_bus,> 10,79,66,73
4794,female,group A,some college,standard,incomplete,single,sometimes,yes,3,school_bus,5 - 10,70,75,75
4795,female,group A,some college,standard,incomplete,divorced,regularly,yes,3,private,< 5,68,71,71
4796,female,group B,some college,free/reduced,incomplete,married,sometimes,yes,0,school_bus,5 - 10,32,51,53
4797,female,group D,associate's degree,standard,incomplete,divorced,regularly,yes,0,school_bus,< 5,68,74,85
4798,male,group B,master's degree,free/reduced,completed,married,sometimes,yes,4,school_bus,< 5,55,63,51
4799,female,group B,some high school,standard,incomplete,single,sometimes,no,1,school_bus,5 - 10,65,71,66
4800,female,group D,associate's degree,free/reduced,incomplete,married,regularly,yes,0,school_bus,< 5,38,50,53
4801,male,group C,some high school,free/reduced,completed,married,sometimes,yes,4,private,< 5,41,45,38
4802,male,group C,associate's degree,standard,completed,divorced,sometimes,yes,2,school_bus,5 - 10,86,92,83
4803,female,group E,associate's degree,standard,incomplete,divorced,regularly,no,3,private,< 5,83,71,73
4804,female,group C,some high school,free/reduced,completed,divorced,never,no,4,school_bus,5 - 10,62,71,73
4805,female,group D,some college,free/reduced,incomplete,married,regularly,yes,0,school_bus,5 - 10,61,65,68
4806,female,group C,bachelor's degree,standard,incomplete,divorced,regularly,yes,1,school_bus,> 10,84,90,95
4807,female,group C,some college,standard,completed,divorced,sometimes,yes,0,private,> 10,80,85,87
4808,male,group B,some high school,standard,incomplete,divorced,sometimes,yes,0,school_bus,5 - 10,57,49,44
4809,female,group E,high school,free/reduced,completed,married,regularly,yes,2,school_bus,< 5,65,60,66
4810,male,group B,high school,standard,completed,married,sometimes,yes,2,private,< 5,60,66,60
4811,male,group D,master's degree,standard,completed,married,regularly,yes,1,private,5 - 10,100,100,99
4812,male,group D,some college,standard,incomplete,married,regularly,yes,2,private,5 - 10,83,71,78
4813,male,group C,master's degree,standard,incomplete,single,regularly,yes,3,school_bus,> 10,66,61,58
4814,male,group B,bachelor's degree,standard,completed,divorced,never,yes,1,private,< 5,85,89,86
4815,male,group D,some high school,free/reduced,incomplete,married,sometimes,no,3,school_bus,> 10,37,31,28
4816,female,group E,high school,standard,incomplete,divorced,sometimes,yes,4,private,5 - 10,94,99,93
4817,female,group B,some college,standard,incomplete,divorced,sometimes,no,3,school_bus,5 - 10,72,81,83
4818,female,group D,some college,standard,completed,married,never,yes,0,private,< 5,69,76,80
4819,male,group A,associate's degree,free/reduced,incomplete,single,regularly,no,2,school_bus,< 5,66,68,61
4820,male,group E,some high school,standard,incomplete,divorced,sometimes,no,1,school_bus,< 5,83,79,77
4821,female,group A,some high school,standard,incomplete,married,sometimes,no,3,school_bus,< 5,70,83,78
4822,female,group D,some college,standard,incomplete,divorced,sometimes,yes,4,school_bus,> 10,62,54,61
4823,male,group D,bachelor's degree,standard,incomplete,single,never,yes,2,school_bus,< 5,65,67,67
4824,male,group D,associate's degree,free/reduced,incomplete,married,regularly,yes,4,school_bus,5 - 10,61,74,75
4825,male,group E,bachelor's degree,standard,incomplete,married,sometimes,yes,1,school_bus,< 5,97,96,91
4826,male,group B,associate's degree,standard,completed,single,regularly,yes,1,private,5 - 10,69,58,57
4827,male,group C,some high school,standard,incomplete,married,sometimes,yes,0,school_bus,< 5,56,61,54
4828,female,group A,some college,standard,incomplete,married,regularly,no,1,school_bus,> 10,74,79,79
4829,female,group E,high school,standard,completed,single,sometimes,no,3,private,> 10,82,92,87
4830,male,group C,some college,standard,incomplete,single,sometimes,no,4,school_bus,< 5,84,78,84
4831,male,group B,bachelor's degree,standard,incomplete,single,regularly,no,2,private,5 - 10,91,82,88
4832,male,group A,some college,standard,incomplete,married,sometimes,no,1,school_bus,5 - 10,90,75,77
4833,male,group D,high school,standard,incomplete,married,regularly,yes,3,school_bus,> 10,74,66,64
4834,male,group D,bachelor's degree,standard,incomplete,married,regularly,yes,1,school_bus,< 5,71,62,61
4835,female,group D,some college,free/reduced,completed,married,sometimes,yes,1,school_bus,5 - 10,64,63,79
4836,female,group B,bachelor's degree,free/reduced,incomplete,divorced,sometimes,yes,3,private,5 - 10,81,87,91
4837,male,group B,some college,free/reduced,incomplete,single,sometimes,yes,3,school_bus,5 - 10,77,72,70
4838,male,group C,high school,standard,completed,married,sometimes,yes,3,school_bus,< 5,77,77,69
4839,male,group C,some college,standard,incomplete,married,sometimes,yes,0,private,> 10,62,59,58
4840,male,group B,associate's degree,standard,completed,single,sometimes,no,2,private,5 - 10,65,70,61
4841,female,group B,associate's degree,standard,completed,divorced,never,yes,1,school_bus,< 5,63,79,79
4842,male,group C,some high school,free/reduced,incomplete,married,never,yes,3,school_bus,5 - 10,41,42,34
4843,female,group C,some high school,free/reduced,incomplete,married,sometimes,no,3,private,5 - 10,38,51,54
4844,female,group C,some college,standard,incomplete,married,sometimes,yes,2,school_bus,5 - 10,62,64,61
4845,male,group B,some high school,standard,incomplete,married,sometimes,yes,0,school_bus,< 5,88,75,73
4846,male,group D,some college,standard,completed,married,sometimes,no,6,school_bus,5 - 10,84,80,84
4847,female,group C,some high school,free/reduced,incomplete,married,never,yes,1,private,< 5,44,60,50
4848,female,group D,associate's degree,free/reduced,incomplete,single,sometimes,yes,1,school_bus,< 5,55,58,62
4849,male,group A,some high school,standard,incomplete,single,sometimes,no,3,private,5 - 10,73,60,57
4850,female,group C,some high school,free/reduced,completed,married,never,yes,3,school_bus,> 10,51,73,69
4851,female,group B,high school,standard,incomplete,single,sometimes,yes,1,private,< 5,83,83,82
4852,female,group C,bachelor's degree,standard,incomplete,married,never,yes,1,private,5 - 10,79,94,88
4853,female,group C,some college,free/reduced,completed,single,sometimes,yes,1,private,5 - 10,86,92,97
4854,female,group C,some college,standard,incomplete,married,regularly,no,2,private,5 - 10,72,76,79
4855,male,group C,high school,free/reduced,incomplete,single,sometimes,yes,3,private,5 - 10,60,66,61
4856,female,group C,some college,standard,incomplete,divorced,never,no,5,school_bus,5 - 10,60,70,72
4857,male,group C,associate's degree,standard,incomplete,single,regularly,yes,0,school_bus,< 5,83,83,81
4858,female,group C,some high school,standard,completed,married,sometimes,yes,3,school_bus,5 - 10,73,79,80
4859,male,group B,some college,standard,incomplete,married,sometimes,yes,2,school_bus,> 10,87,73,68
4860,male,group A,bachelor's degree,standard,incomplete,single,regularly,yes,1,private,< 5,69,67,68
4861,male,group D,high school,free/reduced,incomplete,married,regularly,yes,3,school_bus,5 - 10,63,65,61
4862,male,group C,some college,standard,completed,married,sometimes,yes,3,school_bus,5 - 10,62,57,57
4863,male,group B,some high school,standard,incomplete,married,sometimes,no,2,school_bus,5 - 10,76,82,75
4864,male,group C,some college,standard,incomplete,widowed,regularly,yes,2,school_bus,5 - 10,39,33,37
4865,female,group C,master's degree,standard,completed,single,regularly,no,1,private,5 - 10,48,60,61
4866,female,group B,some high school,standard,incomplete,married,sometimes,yes,3,school_bus,< 5,39,54,47
4867,male,group B,some college,standard,incomplete,married,regularly,yes,2,school_bus,< 5,61,69,64
4868,female,group C,some high school,standard,incomplete,married,sometimes,yes,4,private,5 - 10,45,56,48
4869,female,group B,high school,free/reduced,incomplete,single,never,no,2,school_bus,5 - 10,47,56,54
4870,female,group C,some college,standard,completed,married,sometimes,yes,2,private,5 - 10,77,89,91
4871,female,group E,some college,free/reduced,incomplete,married,regularly,yes,3,school_bus,5 - 10,51,70,64
4872,male,group C,some high school,standard,completed,single,sometimes,no,4,private,5 - 10,83,83,82
4873,female,group D,master's degree,standard,completed,married,sometimes,yes,4,private,> 10,95,96,100
4874,male,group D,high school,standard,incomplete,married,sometimes,no,6,school_bus,5 - 10,60,51,53
4875,female,group C,some high school,standard,incomplete,married,regularly,yes,0,school_bus,< 5,70,80,82
4876,male,group C,some college,standard,completed,married,sometimes,yes,0,school_bus,> 10,80,81,79
4877,male,group E,some high school,free/reduced,incomplete,married,regularly,yes,0,school_bus,5 - 10,56,60,45
4878,male,group D,associate's degree,standard,completed,married,never,yes,5,school_bus,> 10,85,71,80
4879,female,group D,some college,standard,incomplete,single,sometimes,no,2,private,5 - 10,84,91,94
4880,female,group C,some college,free/reduced,completed,married,regularly,yes,5,school_bus,< 5,64,68,70
4881,male,group B,high school,standard,completed,married,regularly,yes,0,private,5 - 10,40,38,34
4882,male,group C,some college,standard,completed,married,regularly,yes,2,private,5 - 10,61,61,62
4883,female,group C,some college,standard,incomplete,single,regularly,yes,0,school_bus,5 - 10,51,50,53
4884,female,group A,some college,free/reduced,incomplete,married,regularly,yes,3,school_bus,< 5,44,62,59
4885,male,group C,some college,standard,completed,married,regularly,yes,3,school_bus,5 - 10,86,88,88
4886,male,group B,high school,free/reduced,incomplete,single,sometimes,no,2,private,5 - 10,22,17,17
4887,male,group D,high school,standard,incomplete,married,regularly,yes,5,school_bus,< 5,72,74,71
4888,male,group D,associate's degree,standard,incomplete,divorced,regularly,yes,3,school_bus,> 10,72,66,60
4889,female,group C,high school,standard,incomplete,widowed,never,yes,0,school_bus,5 - 10,65,70,72
4890,male,group D,bachelor's degree,free/reduced,completed,divorced,regularly,no,2,school_bus,5 - 10,78,89,88
4891,female,group E,some college,free/reduced,completed,single,sometimes,yes,3,school_bus,5 - 10,67,82,75
4892,male,group B,bachelor's degree,standard,completed,single,sometimes,yes,2,school_bus,< 5,65,63,68
4893,male,group D,bachelor's degree,standard,completed,married,regularly,no,5,private,> 10,72,70,70
4894,female,group B,associate's degree,standard,incomplete,married,regularly,no,3,school_bus,> 10,77,79,78
4895,male,group D,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,5 - 10,69,81,83
4896,female,group C,some college,standard,incomplete,married,sometimes,yes,2,school_bus,5 - 10,68,78,70
4897,female,group E,some high school,standard,completed,divorced,regularly,no,2,school_bus,5 - 10,73,80,84
4898,male,group E,some college,free/reduced,incomplete,married,sometimes,no,2,school_bus,5 - 10,58,60,61
4899,female,group D,some college,standard,incomplete,single,sometimes,yes,2,school_bus,5 - 10,67,75,80
4900,female,group E,some high school,standard,incomplete,divorced,sometimes,no,2,school_bus,< 5,71,74,74
4901,female,group D,some high school,standard,incomplete,widowed,sometimes,yes,2,school_bus,< 5,76,81,81
4902,female,group A,master's degree,standard,incomplete,married,sometimes,yes,1,school_bus,5 - 10,58,71,72
4903,female,group B,high school,standard,completed,single,sometimes,no,4,school_bus,5 - 10,94,98,94
4904,female,group C,master's degree,standard,incomplete,divorced,never,yes,1,private,5 - 10,82,99,96
4905,male,group E,some college,standard,incomplete,single,sometimes,yes,4,school_bus,5 - 10,78,67,69
4906,male,group A,associate's degree,free/reduced,incomplete,divorced,sometimes,yes,5,school_bus,5 - 10,57,56,54
4907,female,group C,some high school,standard,incomplete,married,sometimes,yes,1,school_bus,5 - 10,81,82,84
4908,female,group C,some college,free/reduced,incomplete,married,sometimes,yes,2,private,5 - 10,72,89,95
4909,female,group B,some high school,free/reduced,completed,single,regularly,yes,4,school_bus,< 5,64,74,78
4910,female,group B,some high school,free/reduced,incomplete,married,sometimes,no,3,school_bus,> 10,55,71,61
4911,male,group C,master's degree,free/reduced,completed,married,regularly,yes,3,private,5 - 10,67,70,64
4912,female,group C,master's degree,standard,incomplete,married,sometimes,yes,0,private,5 - 10,62,68,70
4913,female,group B,associate's degree,standard,completed,married,regularly,yes,3,school_bus,< 5,69,63,75
4914,female,group B,associate's degree,free/reduced,incomplete,single,regularly,no,2,school_bus,< 5,66,87,84
4915,male,group C,some high school,free/reduced,completed,married,never,yes,2,school_bus,5 - 10,66,65,59
4916,female,group C,associate's degree,standard,incomplete,single,sometimes,yes,3,school_bus,< 5,85,95,90
4917,female,group B,some college,free/reduced,incomplete,married,sometimes,yes,2,school_bus,< 5,39,51,45
4918,female,group C,associate's degree,standard,incomplete,single,regularly,yes,1,school_bus,5 - 10,87,93,91
4919,female,group C,master's degree,standard,incomplete,married,regularly,yes,2,school_bus,5 - 10,100,100,100
4920,male,group C,bachelor's degree,free/reduced,incomplete,married,regularly,yes,2,private,5 - 10,51,49,53
4921,female,group C,bachelor's degree,standard,incomplete,married,regularly,yes,1,school_bus,< 5,68,87,84
4922,male,group A,some college,standard,incomplete,married,sometimes,no,1,private,5 - 10,66,55,51
4923,male,group B,some college,free/reduced,incomplete,married,sometimes,yes,1,school_bus,> 10,37,30,29
4924,female,group B,some college,free/reduced,completed,married,sometimes,yes,2,school_bus,> 10,64,79,77
4925,female,group A,some college,free/reduced,completed,divorced,regularly,yes,2,school_bus,< 5,46,57,58
4926,female,group A,high school,standard,incomplete,married,regularly,no,4,school_bus,> 10,51,60,59
4927,male,group D,high school,free/reduced,completed,single,sometimes,yes,2,private,5 - 10,45,43,39
4928,female,group A,high school,standard,incomplete,married,regularly,yes,3,school_bus,> 10,67,85,82
4929,female,group D,high school,standard,incomplete,married,never,no,2,school_bus,5 - 10,50,77,73
4930,male,group E,some college,standard,incomplete,married,regularly,yes,1,school_bus,5 - 10,78,61,57
4931,female,group B,high school,standard,incomplete,married,regularly,yes,2,private,< 5,69,74,75
4932,male,group B,associate's degree,standard,completed,married,regularly,yes,2,school_bus,5 - 10,80,78,75
4933,male,group E,bachelor's degree,free/reduced,incomplete,married,regularly,yes,3,school_bus,5 - 10,66,64,65
4934,female,group C,bachelor's degree,standard,completed,single,sometimes,no,1,school_bus,< 5,44,52,57
4935,female,group E,master's degree,standard,completed,divorced,regularly,yes,2,private,> 10,100,100,100
4936,female,group D,some college,standard,completed,divorced,never,yes,1,private,> 10,78,90,88
4937,male,group E,high school,standard,completed,divorced,sometimes,yes,3,school_bus,5 - 10,86,80,82
4938,female,group A,some college,free/reduced,incomplete,married,regularly,yes,0,school_bus,5 - 10,51,58,58
4939,male,group C,associate's degree,standard,incomplete,single,regularly,yes,1,private,5 - 10,92,93,86
4940,female,group C,some college,standard,incomplete,married,regularly,yes,1,private,> 10,62,63,69
4941,male,group C,associate's degree,free/reduced,completed,single,sometimes,yes,0,school_bus,5 - 10,74,79,76
4942,female,group C,some college,standard,incomplete,divorced,sometimes,yes,4,private,> 10,69,75,72
4943,male,group C,some high school,free/reduced,incomplete,single,sometimes,yes,2,school_bus,< 5,76,67,62
4944,female,group B,associate's degree,free/reduced,incomplete,married,sometimes,yes,4,private,5 - 10,57,70,66
4945,female,group E,some college,standard,completed,married,sometimes,yes,7,school_bus,5 - 10,93,100,100
4946,female,group B,master's degree,free/reduced,completed,married,sometimes,no,3,school_bus,5 - 10,48,55,59
4947,female,group D,some high school,free/reduced,completed,single,regularly,yes,0,school_bus,5 - 10,51,61,69
4948,female,group D,associate's degree,standard,completed,married,never,yes,3,school_bus,> 10,74,88,87
4949,male,group C,bachelor's degree,free/reduced,completed,single,regularly,yes,1,private,5 - 10,67,72,73
4950,female,group E,associate's degree,free/reduced,incomplete,married,never,no,1,private,< 5,64,74,72
4951,female,group B,high school,free/reduced,completed,single,sometimes,no,1,school_bus,> 10,66,77,75
4952,female,group B,associate's degree,standard,completed,married,sometimes,no,3,school_bus,< 5,66,78,78
4953,male,group D,associate's degree,free/reduced,incomplete,married,sometimes,yes,1,private,5 - 10,64,66,67
4954,female,group B,some college,standard,completed,married,never,yes,4,private,< 5,63,77,77
4955,male,group C,high school,standard,completed,divorced,sometimes,yes,2,school_bus,< 5,52,49,46
4956,female,group B,high school,standard,incomplete,married,sometimes,yes,3,school_bus,5 - 10,66,80,66
4957,male,group D,some high school,standard,incomplete,married,regularly,yes,1,school_bus,> 10,57,54,48
4958,female,group B,some high school,free/reduced,incomplete,married,never,yes,2,private,5 - 10,60,65,65
4959,male,group D,some high school,standard,completed,married,sometimes,no,2,school_bus,< 5,72,75,75
4960,male,group C,bachelor's degree,free/reduced,incomplete,single,sometimes,yes,3,private,< 5,57,45,41
4961,male,group E,bachelor's degree,standard,incomplete,married,sometimes,yes,6,school_bus,5 - 10,63,57,53
4962,female,group B,associate's degree,standard,completed,married,regularly,yes,0,private,5 - 10,73,82,82
4963,female,group B,some college,standard,incomplete,married,never,no,1,school_bus,< 5,63,74,64
4964,female,group B,high school,standard,incomplete,married,sometimes,no,2,private,> 10,77,89,84
4965,female,group D,associate's degree,standard,completed,married,never,yes,2,school_bus,< 5,89,97,95
4966,female,group A,associate's degree,free/reduced,incomplete,divorced,regularly,yes,0,private,> 10,22,43,34
4967,male,group A,high school,standard,incomplete,divorced,never,yes,1,private,5 - 10,81,81,72
4968,male,group A,some college,standard,incomplete,married,sometimes,no,4,private,< 5,64,66,59
4969,female,group C,some college,standard,incomplete,married,regularly,yes,3,school_bus,> 10,84,94,92
4970,female,group C,some college,standard,incomplete,married,never,yes,4,school_bus,5 - 10,43,51,47
4971,male,group C,high school,standard,incomplete,married,sometimes,yes,1,school_bus,5 - 10,67,63,56
4972,female,group B,associate's degree,standard,completed,married,sometimes,yes,0,school_bus,> 10,89,98,97
4973,female,group D,high school,standard,completed,married,regularly,yes,1,private,> 10,100,99,100
4974,female,group E,bachelor's degree,standard,incomplete,married,regularly,yes,0,school_bus,5 - 10,89,94,97
4975,female,group B,high school,free/reduced,incomplete,married,sometimes,yes,3,private,5 - 10,55,67,57
4976,female,group E,some college,standard,incomplete,married,sometimes,yes,2,school_bus,< 5,51,53,43
4977,female,group D,some high school,standard,incomplete,married,sometimes,no,1,school_bus,5 - 10,86,95,85
4978,male,group B,some high school,free/reduced,completed,married,regularly,yes,2,school_bus,> 10,51,56,51
4979,male,group B,master's degree,standard,incomplete,married,never,yes,4,private,> 10,50,35,40
4980,male,group D,some college,standard,incomplete,married,regularly,no,5,school_bus,5 - 10,75,59,66
4981,male,group D,master's degree,free/reduced,completed,divorced,sometimes,yes,3,school_bus,5 - 10,62,54,65
4982,female,group D,some college,standard,incomplete,divorced,sometimes,yes,0,school_bus,< 5,77,76,75
4983,male,group C,some high school,free/reduced,completed,single,sometimes,no,1,school_bus,> 10,44,57,48
4984,female,group B,some college,standard,incomplete,married,never,yes,2,school_bus,> 10,33,39,36
4985,female,group D,some college,standard,incomplete,married,sometimes,yes,1,private,< 5,57,67,69
4986,female,group C,some high school,standard,completed,married,sometimes,no,4,school_bus,< 5,54,70,66
4987,male,group E,some high school,free/reduced,incomplete,single,sometimes,yes,4,private,5 - 10,72,58,57
4988,female,group B,master's degree,free/reduced,incomplete,single,regularly,no,3,school_bus,5 - 10,56,63,64
4989,male,group D,associate's degree,standard,incomplete,single,regularly,yes,3,school_bus,5 - 10,65,52,59
4990,female,group D,bachelor's degree,standard,incomplete,married,sometimes,yes,2,school_bus,5 - 10,69,64,68
4991,female,group C,associate's degree,standard,incomplete,married,sometimes,yes,0,private,< 5,62,69,68
4992,male,group D,high school,standard,completed,married,regularly,yes,2,school_bus,5 - 10,67,73,67
4993,female,group D,master's degree,free/reduced,incomplete,single,sometimes,no,2,school_bus,> 10,73,89,88
4994,male,group D,associate's degree,standard,incomplete,single,sometimes,yes,4,school_bus,5 - 10,69,70,67
4995,female,group B,associate's degree,standard,completed,single,never,yes,2,private,> 10,61,75,80
4996,female,group E,high school,standard,incomplete,married,regularly,no,2,school_bus,5 - 10,70,80,77
4997,male,group D,some college,standard,completed,single,sometimes,yes,4,private,5 - 10,93,95,86
4998,female,group C,some high school,standard,completed,single,sometimes,no,2,private,5 - 10,65,66,74
4999,male,group C,some college,free/reduced,completed,single,sometimes,yes,4,school_bus,> 10,61,66,63
5000,male,group C,associate's degree,free/reduced,incomplete,married,never,yes,2,school_bus,5 - 10,39,47,40
5001,male,group E,some college,standard,incomplete,divorced,sometimes,yes,2,private,5 - 10,91,80,82
5002,female,group B,some high school,free/reduced,completed,married,regularly,yes,2,school_bus,5 - 10,48,66,66
5003,female,group C,master's degree,standard,completed,married,sometimes,yes,2,private,< 5,70,83,81
5004,female,group C,some college,standard,incomplete,married,never,yes,0,school_bus,5 - 10,49,62,58
5005,male,group C,some high school,free/reduced,completed,married,regularly,yes,5,school_bus,5 - 10,66,60,56
5006,female,group B,some high school,free/reduced,completed,married,never,yes,5,school_bus,5 - 10,39,63,59
5007,female,group D,some college,standard,completed,single,never,yes,3,private,> 10,96,99,98
